DIS_DIA;SQRT_DIS;ID_LOBO;COD_SEXO;COD_EDAD;COD_STATUS;COD_CRIA;HOME_RANGE;REFUGIO;NUCLEOS;CARRETERAS;GANADO
5446.93;73.80331971;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14172.2;119.0470495;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
5809.78;76.22191286;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
10696.32;103.4230148;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
5657.22;75.21449328;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
24342.43;156.0206076;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9314.02;96.50917055;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
18153.01;134.7331065;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13658.57;116.8698849;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14286.87;119.5276955;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
15277.98;123.6041261;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
11580.92;107.614683;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
12464.44;111.6442565;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7109.17;84.31589411;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
11691.11;108.1254364;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
11727.36;108.2929361;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
10692.36;103.4038684;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
20935.16;144.6898753;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13007.52;114.0505151;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7245.44;85.12015038;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
15783.11;125.6308481;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16834.06;129.7461367;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7454.79;86.34112577;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9702.88;98.50319792;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
774.94;27.83774416;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
18262.55;135.1390025;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
7336.31;85.65226208;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6971.55;83.49580828;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
14483.22;120.3462505;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
5535.2;74.39892472;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
2998.16;54.75545635;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
13430.3;115.8891712;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
15488.48;124.4527219;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
25192.42;158.7212021;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6870.84;82.89053022;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
8759.34;93.59134575;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
16540.9;128.6114303;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
22484.56;149.9485245;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
9504.85;97.49282025;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
6917.66;83.17247141;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
17086.48;130.7152631;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
775.14;27.84133617;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
20438.07;142.9617781;Mario;1;1;1;1;140.34;76.07;135;178.21;12350.425
