ID;COD_SEX;COD_C_EDAD;COD_STATUS;COD_CRIA;Dis_dia;SqrtDis_dia;K90_total;K90_refugio;N_nucleos_KT90;K90_carre;K90_bioma_tot_T
L1;1;1;1;1;5809.78;76.22191286;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;10696.32;103.4230148;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;5657.22;75.21449328;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;24342.43;156.0206076;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;9314.02;96.50917055;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;18153.01;134.7331065;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13658.57;116.8698849;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14286.87;119.5276955;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;15277.98;123.6041261;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;11580.92;107.614683;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;12464.44;111.6442565;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7109.17;84.31589411;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;11691.11;108.1254364;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;11727.36;108.2929361;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;10692.36;103.4038684;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;20935.16;144.6898753;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13007.52;114.0505151;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7245.44;85.12015038;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;15783.11;125.6308481;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16834.06;129.7461367;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7454.79;86.34112577;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;9702.88;98.50319792;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;774.94;27.83774416;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;18262.55;135.1390025;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;7336.31;85.65226208;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6971.55;83.49580828;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14483.22;120.3462505;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;5535.2;74.39892472;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;2998.16;54.75545635;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13430.3;115.8891712;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;15488.48;124.4527219;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;25192.42;158.7212021;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6870.84;82.89053022;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;8759.34;93.59134575;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16540.9;128.6114303;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;22484.56;149.9485245;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;9504.85;97.49282025;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6917.66;83.17247141;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;17086.48;130.7152631;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;775.14;27.84133617;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;20438.07;142.9617781;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;24043.61;155.0600206;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16752.65;129.4320285;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;9050.07;95.13185586;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;15804.87;125.7174212;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;4706.18;68.60160348;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;17585.79;132.6114248;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;12239.39;110.6317766;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;18919.51;137.5482097;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6259.95;79.1198458;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;3803.57;61.67308976;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;3802.41;61.66368461;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;8674.47;93.13683482;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;26806.94;163.7282505;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;20015.37;141.475687;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;4635.45;68.08413912;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;21584.89;146.9179703;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16436.71;128.2057331;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;24140.4;155.3718121;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;4049.3;63.63411035;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;8442.59;91.88356763;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;21044.27;145.0664331;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;2418.68;49.18007727;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14378.29;119.9095075;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;17589.12;132.6239797;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;21216.52;145.6589167;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;10633.34;103.1180876;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;27619.72;166.1918169;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;12367.78;111.2105211;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;21268.49;145.8372038;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6044.83;77.74850481;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;9244.82;96.149987;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;10178.14;100.8867682;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;15411.62;124.1435459;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;27541.37;165.9559279;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14170.36;119.0393212;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;23740.74;154.0803037;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6266.11;79.15876452;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6973.11;83.50514954;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13649.62;116.8315882;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;22201.93;149.0031208;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;20313.72;142.5262081;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;14003.6;118.3368075;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;18995.56;137.824381;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;13440.31;115.932351;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;1595.98;39.9497184;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;16536.77;128.5953732;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;6371.89;79.82411916;140.34;76.07;135;178.21;12350.425
L1;1;1;1;1;17540.59;132.4408925;140.34;76.07;135;178.21;12350.425
L2;1;2;2;1;1191.05;34.51159226;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;2265.2;47.59411728;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;1390.73;37.29249254;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;823.99;28.70522601;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;5591.5;74.77633315;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;3102.99;55.70448815;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;2602.03;51.01009704;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;1011.91;31.81053285;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6510.26;80.68618221;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;4909.47;70.06761021;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6534.64;80.83712019;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6728.26;82.0259715;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;10284.61;101.4130662;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;13256.48;115.1367882;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6366.64;79.79122759;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;7989.9;89.38624055;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;13643;116.8032534;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;9457.6;97.2501928;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;777.26;27.87938306;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6249.6;79.05441164;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8517.85;92.29219902;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;3623.17;60.19277365;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;3967.09;62.98483945;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;4167.27;64.55439567;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;9884.69;99.4217783;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;3212.88;56.68227236;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;5998.37;77.4491446;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6146.59;78.40019133;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;13208.88;114.9298917;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;10332.97;101.6512174;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8361.71;91.44238623;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;1902.39;43.616396;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;1311.52;36.21491405;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8294.07;91.07178487;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;5546.77;74.47664063;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;7871.99;88.7242357;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;565.43;23.77877205;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;14454.52;120.2269521;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;12304.35;110.9249746;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;3641.29;60.34310234;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;4634.02;68.0736366;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8350.71;91.38221928;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;15637.03;125.0481107;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;7593.36;87.13988754;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8163.72;90.35330652;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;7218.03;84.95899011;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;8487.72;92.12882285;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;6877.73;82.93208064;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;15889.74;126.054512;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;18136.5;134.6718233;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;14602.45;120.8405975;191.04;75.63;102;223.20;13556.53
L2;1;2;2;1;10501.47;102.4766803;191.04;75.63;102;223.20;13556.53
L4;1;2;2;1;1379.55;37.14229395;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2445.5;49.45199693;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;8302.79;91.11964662;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3915.75;62.57595385;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1870.55;43.24985549;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;655.18;25.59648413;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1892.7;43.50517211;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4123.03;64.21082463;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6405.52;80.03449256;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5842.32;76.43507048;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2331.98;48.29057879;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5899.32;76.80703093;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2967.17;54.47173579;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4371.77;66.11936176;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6053.14;77.801928;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2821.28;53.11572272;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5346.97;73.1229786;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7779.67;88.20243761;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5381.98;73.36197925;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3699.35;60.8222821;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;9241.79;96.13422908;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3749.9;61.23642707;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4810.39;69.35697514;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2111.79;45.95421635;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3263.84;57.13002713;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;11561.76;107.5256249;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;4852.53;69.66010336;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;3145.09;56.08110199;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;2526.91;50.26837972;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6520.98;80.7525851;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6431.61;80.19731916;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1948.72;44.14430881;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;13061.01;114.2847759;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;5464.9;73.92496195;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1998.79;44.70782929;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;13404.39;115.7773294;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;1389.01;37.26942447;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7144.1;84.522778;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7043.91;83.92800486;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;6953.68;83.38872826;679.71;369.97;619;1023.41;9235.845
L4;1;2;2;1;7158.67;84.60892388;679.71;369.97;619;1023.41;9235.845
